archetype_id,sample_idx,method_id,original_method_name,array_role,source_array_directory,source_file,sample_position,shape,dtype,finite_status,input_alignment_status,gt_alignment_status,topology_csv_path,topology_pd_column,topology_mt_column,topology_row_found_status
global_descriptor_disagreement,120,GT,ground_truth,dataGT,data_out_fixed/wind_mrhr_cnn,dataGT.npy,120,"(500, 500, 2)",float64,PASS,N/A,PASS,,,,not_applicable
global_descriptor_disagreement,120,bicubic,bicubic,dataSR,(reconstructed_in_memory),(reconstructed_in_memory),120,"(500, 500, 2)",float32,PASS,PASS,PASS,,,,not_applicable
global_descriptor_disagreement,120,cnn,cnn,dataSR,data_out_fixed/wind_mrhr_cnn,dataSR.npy,120,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/combined/phase_c_results.csv,pd_distance,mt_distance,found
global_descriptor_disagreement,120,gan,gan,dataSR,data_out_fixed/wind_mrhr_gan,dataSR.npy,120,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/combined/phase_c_results.csv,pd_distance,mt_distance,found
global_descriptor_disagreement,120,candidate_c,candidateC_expanded2688,dataSR,data_out/wind_finetune_candidateC_expanded2688,dataSR.npy,120,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateC_expanded2688_topology/candidateC_expanded2688_pd_mt_distances.csv,pd_distance_candidateC_expanded2688,mt_distance_candidateC_expanded2688,found
global_descriptor_disagreement,120,f3_grad_crit,candidateF_grad_crit_expanded2688,dataSR,data_out/wind_finetune_candidateF_grad_crit_expanded2688,dataSR.npy,120,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateF_grad_crit_expanded2688_topology/candidateF_grad_crit_expanded2688_pd_mt_distances.csv,pd_distance_candidateF_grad_crit_expanded2688,mt_distance_candidateF_grad_crit_expanded2688,found
global_descriptor_disagreement,120,f2_grad_levelset_e2,candidateF_grad_levelset_E2_low_expanded2688,dataSR,data_out/wind_finetune_candidateF_grad_levelset_E2_low_expanded2688,dataSR.npy,120,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateF_grad_levelset_E2_low_expanded2688_topology/candidateF_grad_levelset_E2_low_expanded2688_pd_mt_distances.csv,pd_distance_candidateF_grad_levelset_E2_low_expanded2688,mt_distance_candidateF_grad_levelset_E2_low_expanded2688,found
global_descriptor_disagreement,120,uv_e2,candidateUV_plus_E2_tf_lowlambda_expanded2688,dataSR,data_out/wind_finetune_candidateUV_plus_E2_tf_lowlambda_expanded2688,dataSR.npy,120,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateUV_plus_E2_tf_lowlambda_expanded2688_topology/candidateUV_plus_E2_tf_lowlambda_expanded2688_pd_mt_distances.csv,pd_distance_candidateUV_plus_E2_tf_lowlambda_expanded2688,mt_distance_candidateUV_plus_E2_tf_lowlambda_expanded2688,found
gan_pd_vs_cnn_mt_conflict,34,GT,ground_truth,dataGT,data_out_fixed/wind_mrhr_cnn,dataGT.npy,34,"(500, 500, 2)",float64,PASS,N/A,PASS,,,,not_applicable
gan_pd_vs_cnn_mt_conflict,34,bicubic,bicubic,dataSR,(reconstructed_in_memory),(reconstructed_in_memory),34,"(500, 500, 2)",float32,PASS,PASS,PASS,,,,not_applicable
gan_pd_vs_cnn_mt_conflict,34,cnn,cnn,dataSR,data_out_fixed/wind_mrhr_cnn,dataSR.npy,34,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/combined/phase_c_results.csv,pd_distance,mt_distance,found
gan_pd_vs_cnn_mt_conflict,34,gan,gan,dataSR,data_out_fixed/wind_mrhr_gan,dataSR.npy,34,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/combined/phase_c_results.csv,pd_distance,mt_distance,found
gan_pd_vs_cnn_mt_conflict,34,candidate_c,candidateC_expanded2688,dataSR,data_out/wind_finetune_candidateC_expanded2688,dataSR.npy,34,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateC_expanded2688_topology/candidateC_expanded2688_pd_mt_distances.csv,pd_distance_candidateC_expanded2688,mt_distance_candidateC_expanded2688,found
gan_pd_vs_cnn_mt_conflict,34,f3_grad_crit,candidateF_grad_crit_expanded2688,dataSR,data_out/wind_finetune_candidateF_grad_crit_expanded2688,dataSR.npy,34,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateF_grad_crit_expanded2688_topology/candidateF_grad_crit_expanded2688_pd_mt_distances.csv,pd_distance_candidateF_grad_crit_expanded2688,mt_distance_candidateF_grad_crit_expanded2688,found
gan_pd_vs_cnn_mt_conflict,34,f2_grad_levelset_e2,candidateF_grad_levelset_E2_low_expanded2688,dataSR,data_out/wind_finetune_candidateF_grad_levelset_E2_low_expanded2688,dataSR.npy,34,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateF_grad_levelset_E2_low_expanded2688_topology/candidateF_grad_levelset_E2_low_expanded2688_pd_mt_distances.csv,pd_distance_candidateF_grad_levelset_E2_low_expanded2688,mt_distance_candidateF_grad_levelset_E2_low_expanded2688,found
gan_pd_vs_cnn_mt_conflict,34,uv_e2,candidateUV_plus_E2_tf_lowlambda_expanded2688,dataSR,data_out/wind_finetune_candidateUV_plus_E2_tf_lowlambda_expanded2688,dataSR.npy,34,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateUV_plus_E2_tf_lowlambda_expanded2688_topology/candidateUV_plus_E2_tf_lowlambda_expanded2688_pd_mt_distances.csv,pd_distance_candidateUV_plus_E2_tf_lowlambda_expanded2688,mt_distance_candidateUV_plus_E2_tf_lowlambda_expanded2688,found
f3_pd_vs_uv_e2_mt_tradeoff,119,GT,ground_truth,dataGT,data_out_fixed/wind_mrhr_cnn,dataGT.npy,119,"(500, 500, 2)",float64,PASS,N/A,PASS,,,,not_applicable
f3_pd_vs_uv_e2_mt_tradeoff,119,bicubic,bicubic,dataSR,(reconstructed_in_memory),(reconstructed_in_memory),119,"(500, 500, 2)",float32,PASS,PASS,PASS,,,,not_applicable
f3_pd_vs_uv_e2_mt_tradeoff,119,cnn,cnn,dataSR,data_out_fixed/wind_mrhr_cnn,dataSR.npy,119,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/combined/phase_c_results.csv,pd_distance,mt_distance,found
f3_pd_vs_uv_e2_mt_tradeoff,119,gan,gan,dataSR,data_out_fixed/wind_mrhr_gan,dataSR.npy,119,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/combined/phase_c_results.csv,pd_distance,mt_distance,found
f3_pd_vs_uv_e2_mt_tradeoff,119,candidate_c,candidateC_expanded2688,dataSR,data_out/wind_finetune_candidateC_expanded2688,dataSR.npy,119,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateC_expanded2688_topology/candidateC_expanded2688_pd_mt_distances.csv,pd_distance_candidateC_expanded2688,mt_distance_candidateC_expanded2688,found
f3_pd_vs_uv_e2_mt_tradeoff,119,f3_grad_crit,candidateF_grad_crit_expanded2688,dataSR,data_out/wind_finetune_candidateF_grad_crit_expanded2688,dataSR.npy,119,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateF_grad_crit_expanded2688_topology/candidateF_grad_crit_expanded2688_pd_mt_distances.csv,pd_distance_candidateF_grad_crit_expanded2688,mt_distance_candidateF_grad_crit_expanded2688,found
f3_pd_vs_uv_e2_mt_tradeoff,119,f2_grad_levelset_e2,candidateF_grad_levelset_E2_low_expanded2688,dataSR,data_out/wind_finetune_candidateF_grad_levelset_E2_low_expanded2688,dataSR.npy,119,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateF_grad_levelset_E2_low_expanded2688_topology/candidateF_grad_levelset_E2_low_expanded2688_pd_mt_distances.csv,pd_distance_candidateF_grad_levelset_E2_low_expanded2688,mt_distance_candidateF_grad_levelset_E2_low_expanded2688,found
f3_pd_vs_uv_e2_mt_tradeoff,119,uv_e2,candidateUV_plus_E2_tf_lowlambda_expanded2688,dataSR,data_out/wind_finetune_candidateUV_plus_E2_tf_lowlambda_expanded2688,dataSR.npy,119,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateUV_plus_E2_tf_lowlambda_expanded2688_topology/candidateUV_plus_E2_tf_lowlambda_expanded2688_pd_mt_distances.csv,pd_distance_candidateUV_plus_E2_tf_lowlambda_expanded2688,mt_distance_candidateUV_plus_E2_tf_lowlambda_expanded2688,found
f2_balanced_vs_cnn,25,GT,ground_truth,dataGT,data_out_fixed/wind_mrhr_cnn,dataGT.npy,25,"(500, 500, 2)",float64,PASS,N/A,PASS,,,,not_applicable
f2_balanced_vs_cnn,25,bicubic,bicubic,dataSR,(reconstructed_in_memory),(reconstructed_in_memory),25,"(500, 500, 2)",float32,PASS,PASS,PASS,,,,not_applicable
f2_balanced_vs_cnn,25,cnn,cnn,dataSR,data_out_fixed/wind_mrhr_cnn,dataSR.npy,25,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/combined/phase_c_results.csv,pd_distance,mt_distance,found
f2_balanced_vs_cnn,25,gan,gan,dataSR,data_out_fixed/wind_mrhr_gan,dataSR.npy,25,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/combined/phase_c_results.csv,pd_distance,mt_distance,found
f2_balanced_vs_cnn,25,candidate_c,candidateC_expanded2688,dataSR,data_out/wind_finetune_candidateC_expanded2688,dataSR.npy,25,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateC_expanded2688_topology/candidateC_expanded2688_pd_mt_distances.csv,pd_distance_candidateC_expanded2688,mt_distance_candidateC_expanded2688,found
f2_balanced_vs_cnn,25,f3_grad_crit,candidateF_grad_crit_expanded2688,dataSR,data_out/wind_finetune_candidateF_grad_crit_expanded2688,dataSR.npy,25,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateF_grad_crit_expanded2688_topology/candidateF_grad_crit_expanded2688_pd_mt_distances.csv,pd_distance_candidateF_grad_crit_expanded2688,mt_distance_candidateF_grad_crit_expanded2688,found
f2_balanced_vs_cnn,25,f2_grad_levelset_e2,candidateF_grad_levelset_E2_low_expanded2688,dataSR,data_out/wind_finetune_candidateF_grad_levelset_E2_low_expanded2688,dataSR.npy,25,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateF_grad_levelset_E2_low_expanded2688_topology/candidateF_grad_levelset_E2_low_expanded2688_pd_mt_distances.csv,pd_distance_candidateF_grad_levelset_E2_low_expanded2688,mt_distance_candidateF_grad_levelset_E2_low_expanded2688,found
f2_balanced_vs_cnn,25,uv_e2,candidateUV_plus_E2_tf_lowlambda_expanded2688,dataSR,data_out/wind_finetune_candidateUV_plus_E2_tf_lowlambda_expanded2688,dataSR.npy,25,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateUV_plus_E2_tf_lowlambda_expanded2688_topology/candidateUV_plus_E2_tf_lowlambda_expanded2688_pd_mt_distances.csv,pd_distance_candidateUV_plus_E2_tf_lowlambda_expanded2688,mt_distance_candidateUV_plus_E2_tf_lowlambda_expanded2688,found
candidate_c_continuity,30,GT,ground_truth,dataGT,data_out_fixed/wind_mrhr_cnn,dataGT.npy,30,"(500, 500, 2)",float64,PASS,N/A,PASS,,,,not_applicable
candidate_c_continuity,30,bicubic,bicubic,dataSR,(reconstructed_in_memory),(reconstructed_in_memory),30,"(500, 500, 2)",float32,PASS,PASS,PASS,,,,not_applicable
candidate_c_continuity,30,cnn,cnn,dataSR,data_out_fixed/wind_mrhr_cnn,dataSR.npy,30,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/combined/phase_c_results.csv,pd_distance,mt_distance,found
candidate_c_continuity,30,gan,gan,dataSR,data_out_fixed/wind_mrhr_gan,dataSR.npy,30,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/combined/phase_c_results.csv,pd_distance,mt_distance,found
candidate_c_continuity,30,candidate_c,candidateC_expanded2688,dataSR,data_out/wind_finetune_candidateC_expanded2688,dataSR.npy,30,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateC_expanded2688_topology/candidateC_expanded2688_pd_mt_distances.csv,pd_distance_candidateC_expanded2688,mt_distance_candidateC_expanded2688,found
candidate_c_continuity,30,f3_grad_crit,candidateF_grad_crit_expanded2688,dataSR,data_out/wind_finetune_candidateF_grad_crit_expanded2688,dataSR.npy,30,"(500, 500, 2)",float64,PASS,PASS,PASS,ttk_runs_fixed/topology_finetuning/candidateF_grad_crit_expanded2688_topology/candidateF_grad_crit_expanded2688_pd_mt_distances.csv,pd_distance_candidateF_grad_crit_expanded2688,mt_distance_candidateF_grad_crit_expanded2688,found
