method_id,original_method_name,array_role,expected_repo_relative_path,expected_shape,expected_dtype,resolution_convention,notes
bicubic,bicubic,idx,data_out_fixed/wind_mrhr_cnn/idx.npy,"(168,)",integer,reused_from_cnn_canonical_mr_input,Bicubic has no independent inference run; reuses CNN idx/dataIN/dataGT.
bicubic,bicubic,dataIN,data_out_fixed/wind_mrhr_cnn/dataIN.npy,"(168, 100, 100, 2)",float32/float64,reused_from_cnn_canonical_mr_input,
bicubic,bicubic,dataGT,data_out_fixed/wind_mrhr_cnn/dataGT.npy,"(168, 500, 500, 2)",float32/float64,reused_from_cnn_canonical_mr_input,
bicubic,bicubic,dataSR,"(reconstructed in memory, not read from disk)","(168, 500, 500, 2)",float32,"scipy.ndimage.zoom(order=3, mode=reflect, prefilter=True) per channel, applied to CNN dataIN",Never written back to any earlier-phase or new baseline-dataset location.
cnn,cnn,idx,data_out_fixed/wind_mrhr_cnn/idx.npy,"(168,)",integer,canonical_fixed_pretrained_baseline,
cnn,cnn,dataIN,data_out_fixed/wind_mrhr_cnn/dataIN.npy,"(168, 100, 100, 2)",float32/float64,canonical_fixed_pretrained_baseline,
cnn,cnn,dataGT,data_out_fixed/wind_mrhr_cnn/dataGT.npy,"(168, 500, 500, 2)",float32/float64,canonical_fixed_pretrained_baseline,
cnn,cnn,dataSR,data_out_fixed/wind_mrhr_cnn/dataSR.npy,"(168, 500, 500, 2)",float32/float64,canonical_fixed_pretrained_baseline,
gan,gan,idx,data_out_fixed/wind_mrhr_gan/idx.npy,"(168,)",integer,canonical_fixed_pretrained_baseline,
gan,gan,dataIN,data_out_fixed/wind_mrhr_gan/dataIN.npy,"(168, 100, 100, 2)",float32/float64,canonical_fixed_pretrained_baseline,
gan,gan,dataGT,data_out_fixed/wind_mrhr_gan/dataGT.npy,"(168, 500, 500, 2)",float32/float64,canonical_fixed_pretrained_baseline,
gan,gan,dataSR,data_out_fixed/wind_mrhr_gan/dataSR.npy,"(168, 500, 500, 2)",float32/float64,canonical_fixed_pretrained_baseline,
candidate_c,candidateC_expanded2688,idx,data_out/wind_finetune_candidateC_expanded2688/idx.npy,"(168,)",integer,learned_finetuned_candidate,
candidate_c,candidateC_expanded2688,dataIN,data_out/wind_finetune_candidateC_expanded2688/dataIN.npy,"(168, 100, 100, 2)",float32/float64,learned_finetuned_candidate,
candidate_c,candidateC_expanded2688,dataGT,data_out/wind_finetune_candidateC_expanded2688/dataGT.npy,"(168, 500, 500, 2)",float32/float64,learned_finetuned_candidate,
candidate_c,candidateC_expanded2688,dataSR,data_out/wind_finetune_candidateC_expanded2688/dataSR.npy,"(168, 500, 500, 2)",float32/float64,learned_finetuned_candidate,
f3_grad_crit,candidateF_grad_crit_expanded2688,idx,data_out/wind_finetune_candidateF_grad_crit_expanded2688/idx.npy,"(168,)",integer,learned_finetuned_candidate,
f3_grad_crit,candidateF_grad_crit_expanded2688,dataIN,data_out/wind_finetune_candidateF_grad_crit_expanded2688/dataIN.npy,"(168, 100, 100, 2)",float32/float64,learned_finetuned_candidate,
f3_grad_crit,candidateF_grad_crit_expanded2688,dataGT,data_out/wind_finetune_candidateF_grad_crit_expanded2688/dataGT.npy,"(168, 500, 500, 2)",float32/float64,learned_finetuned_candidate,
f3_grad_crit,candidateF_grad_crit_expanded2688,dataSR,data_out/wind_finetune_candidateF_grad_crit_expanded2688/dataSR.npy,"(168, 500, 500, 2)",float32/float64,learned_finetuned_candidate,
f2_grad_levelset_e2,candidateF_grad_levelset_E2_low_expanded2688,idx,data_out/wind_finetune_candidateF_grad_levelset_E2_low_expanded2688/idx.npy,"(168,)",integer,learned_finetuned_candidate,
f2_grad_levelset_e2,candidateF_grad_levelset_E2_low_expanded2688,dataIN,data_out/wind_finetune_candidateF_grad_levelset_E2_low_expanded2688/dataIN.npy,"(168, 100, 100, 2)",float32/float64,learned_finetuned_candidate,
f2_grad_levelset_e2,candidateF_grad_levelset_E2_low_expanded2688,dataGT,data_out/wind_finetune_candidateF_grad_levelset_E2_low_expanded2688/dataGT.npy,"(168, 500, 500, 2)",float32/float64,learned_finetuned_candidate,
f2_grad_levelset_e2,candidateF_grad_levelset_E2_low_expanded2688,dataSR,data_out/wind_finetune_candidateF_grad_levelset_E2_low_expanded2688/dataSR.npy,"(168, 500, 500, 2)",float32/float64,learned_finetuned_candidate,
uv_e2,candidateUV_plus_E2_tf_lowlambda_expanded2688,idx,data_out/wind_finetune_candidateUV_plus_E2_tf_lowlambda_expanded2688/idx.npy,"(168,)",integer,learned_finetuned_candidate,
uv_e2,candidateUV_plus_E2_tf_lowlambda_expanded2688,dataIN,data_out/wind_finetune_candidateUV_plus_E2_tf_lowlambda_expanded2688/dataIN.npy,"(168, 100, 100, 2)",float32/float64,learned_finetuned_candidate,
uv_e2,candidateUV_plus_E2_tf_lowlambda_expanded2688,dataGT,data_out/wind_finetune_candidateUV_plus_E2_tf_lowlambda_expanded2688/dataGT.npy,"(168, 500, 500, 2)",float32/float64,learned_finetuned_candidate,
uv_e2,candidateUV_plus_E2_tf_lowlambda_expanded2688,dataSR,data_out/wind_finetune_candidateUV_plus_E2_tf_lowlambda_expanded2688/dataSR.npy,"(168, 500, 500, 2)",float32/float64,learned_finetuned_candidate,
