sample_idx,archetype_id,method_id,raw__psnruv,oriented_improvement_vs_cnn__psnruv,raw__ssim_speed,oriented_improvement_vs_cnn__ssim_speed,raw__speed_mae,oriented_improvement_vs_cnn__speed_mae,raw__speed_rmse,oriented_improvement_vs_cnn__speed_rmse,raw__wpd_mae,oriented_improvement_vs_cnn__wpd_mae,raw__wpd_w1,oriented_improvement_vs_cnn__wpd_w1,raw__wpd_bias_abs,oriented_improvement_vs_cnn__wpd_bias_abs,raw__grad_mae,oriented_improvement_vs_cnn__grad_mae,raw__grad_w1,oriented_improvement_vs_cnn__grad_w1,raw__grad_kurtosis_abs_delta,oriented_improvement_vs_cnn__grad_kurtosis_abs_delta,raw__psd_log_l2,oriented_improvement_vs_cnn__psd_log_l2,raw__psd_slope_abs_delta,oriented_improvement_vs_cnn__psd_slope_abs_delta,raw__exceed_abs_t5,oriented_improvement_vs_cnn__exceed_abs_t5,raw__exceed_abs_t10,oriented_improvement_vs_cnn__exceed_abs_t10,raw__exceed_abs_t15,oriented_improvement_vs_cnn__exceed_abs_t15,raw__exceed_abs_p90,oriented_improvement_vs_cnn__exceed_abs_p90,raw__comp_curve_l1,oriented_improvement_vs_cnn__comp_curve_l1,raw__comp_abs_t5,oriented_improvement_vs_cnn__comp_abs_t5,raw__comp_abs_t10,oriented_improvement_vs_cnn__comp_abs_t10,raw__comp_abs_t15,oriented_improvement_vs_cnn__comp_abs_t15,raw__pd_distance,oriented_improvement_vs_cnn__pd_distance,raw__mt_distance,oriented_improvement_vs_cnn__mt_distance,method_level_pd_rank,method_level_mt_rank,on_topology_only_deterministic_front,topology_only_bootstrap_rate_iid,topology_only_bootstrap_rate_block6,topology_only_bootstrap_rate_block12,topology_only_bootstrap_rate_block24
120,global_descriptor_disagreement,bicubic,31.105484152989664,1.2329299243849263,,,0.5748884039489283,0.10697975910283808,0.9536473869738767,0.08167110479930184,191.85666226511748,49.44278591069309,49.22529383032877,12.928076190061304,33.22176948105661,21.376960241180853,0.3577646844367179,-0.019562998827376166,0.31666981508116415,-0.07984089504555708,5.6018862061633286,-3.4153436572637634,0.9616922248553149,-0.44769904263719973,1.7606510767808277,-0.6623699518974986,0.013252000000000042,-0.005716000000000054,0.012944000000000067,-0.0031760000000000677,0.003248000000000001,0.004259999999999986,0.0052320000000000005,0.002032000000000006,144.0,-43.66666666666667,10.0,-1.0,435.0,-112.0,126.0,-50.0,,,,,,,,,,,
120,global_descriptor_disagreement,cnn,29.872554228604738,,,,0.6818681630517663,,1.0353184917731786,,241.29944817581057,,62.15337002039008,,54.598729722237465,,0.3382016856093417,,0.23682892003560707,,2.186542548899565,,0.5139931822181152,,1.098281124883329,,0.007535999999999987,,0.009767999999999999,,0.007507999999999987,,0.0072640000000000066,,100.33333333333333,,9.0,,323.0,,76.0,,28.146732976702577,,4.889072418212891,,13.0,7.0,False,0.0,0.0,0.0,0.0
120,global_descriptor_disagreement,gan,28.05640562686895,-1.8161486017357866,,,0.8565562594199194,-0.17468809636815308,1.2621611461214246,-0.22684265434824602,309.53036146776435,-68.23091329195378,30.558182451155197,31.59518756923488,19.807033913207672,34.79169580902979,0.36960340035765415,-0.03140171474831244,0.07494999909427055,0.16187892094133652,0.3390607419899485,1.8474818069096166,0.6594494495861237,-0.14545626736800854,1.244493523343923,-0.14621239846059386,0.006099999999999994,0.0014359999999999928,0.006743999999999972,0.0030240000000000267,0.006024000000000002,0.0014839999999999853,0.0008559999999999957,0.006408000000000011,189.16666666666666,-88.83333333333333,30.0,-21.0,111.0,212.0,267.0,-191.0,21.528863701574615,6.617869275127962,7.93386173248291,-3.0447893142700195,1.0,18.0,True,1.0,1.0,1.0,1.0
120,global_descriptor_disagreement,candidate_c,32.243550513216974,2.370996284612236,,,0.5023918091246221,0.17947635392714423,0.8384195258792191,0.1968989658939595,169.54817183957974,71.75127633623083,15.23603655426719,46.917333466122884,11.03650985104058,43.56221987119689,0.29938333027709835,0.03881835533224337,0.18241484393426952,0.054414076101337555,1.0078362835635133,1.1787062653360518,0.6274719819690102,-0.11347879975089503,1.4232708501318545,-0.32498972524852543,0.006720000000000059,0.0008159999999999279,0.0031159999999998966,0.006652000000000102,0.0015360000000000096,0.005971999999999977,0.0021079999999999988,0.005156000000000008,90.83333333333333,9.5,5.0,4.0,335.0,-12.0,49.0,27.0,23.321928109050795,4.824804867651782,6.271120071411133,-1.3820476531982422,3.0,14.0,False,0.0002,0.0006,0.0007,0.0003
120,global_descriptor_disagreement,f3_grad_crit,31.99573749518043,2.1231832665756905,,,0.5254029543668792,0.1564652086848871,0.8677580771865459,0.16756041458663273,180.75476574754984,60.54468242826073,49.60404834151229,12.549321678877789,48.19932617261514,6.399403549622328,0.29755166524797916,0.04065002036136256,0.16574263934609532,0.07108628068951175,0.07644111873235637,2.1101014301672087,0.601333538769831,-0.08734035655171579,1.645339382589824,-0.5470582577064949,0.007008000000000014,0.0005279999999999729,0.01582399999999995,-0.00605599999999995,0.0067959999999999965,0.0007119999999999904,0.006935999999999998,0.00032800000000000884,77.83333333333333,22.5,6.0,3.0,319.0,4.0,40.0,36.0,23.301101241214702,4.845631735487874,6.621406078338623,-1.7323336601257324,2.0,9.0,True,1.0,0.9997,0.9967,0.9861
120,global_descriptor_disagreement,f2_grad_levelset_e2,31.398520840303185,1.525966611698447,,,0.5622469240534236,0.11962123899834276,0.9207176683548386,0.11460082341833999,189.44392140289435,51.85552677291622,21.533355353374187,40.620014667015894,20.608936607065555,33.989793115171906,0.3022672281494575,0.03593445745988422,0.14705338150967406,0.08977553852593301,1.451065881502565,0.7354766673970001,0.5175774370889301,-0.003584254870814929,1.3072030607785918,-0.20892193589526276,2.4000000000024002e-05,0.007511999999999963,7.6000000000076e-05,0.009691999999999923,0.0027559999999999807,0.004752000000000006,0.0037599999999999995,0.003504000000000007,63.833333333333336,36.49999999999999,3.0,6.0,260.0,63.0,37.0,39.0,24.377418829895184,3.7693141468073925,5.618589878082275,-0.7295174598693848,8.0,4.0,True,1.0,0.9995,0.9967,0.9915
120,global_descriptor_disagreement,uv_e2,31.42863920467901,1.5560849760742705,,,0.5625681467692717,0.11930001628249465,0.91593045557763,0.11938803619554861,191.50737603057703,49.79207214523353,16.808442459894515,45.34492756049556,13.994478063126891,40.604251659110574,0.30913187906481693,0.02906980654452479,0.1755206086366248,0.06130831139898227,0.15449384451479808,2.032048704384767,0.5236236794467919,-0.009630497228676704,1.3456032621950542,-0.24732213731172514,0.0012280000000000069,0.00630799999999998,0.0021079999999999988,0.00766,0.00136,0.006147999999999987,0.002476000000000006,0.004788000000000001,82.33333333333333,18.0,5.0,4.0,294.0,29.0,59.0,17.0,26.42369467502354,1.7230383016790363,5.123105049133301,-0.23403263092041016,12.0,1.0,True,0.9862,0.9691,0.9607,0.9662
34,gan_pd_vs_cnn_mt_conflict,bicubic,33.84469294016152,0.7726644942552454,,,0.7471490695243925,0.10812909418250094,1.4000777928350217,0.09516010045791745,293.26842680730687,54.27235665650119,106.42448115204614,-60.173344483369405,72.73316688697169,-52.597234754600535,0.48039379326106596,-0.04216986701181269,0.4344975938397285,-0.14683171899292874,9.07910372182194,-8.944500768619577,2.4568343095519856,-1.1776574439672278,1.8611726048302413,-1.6971200514104787,0.014164000000000065,-0.00770000000000004,0.007615999999999956,-0.00022400000000000198,0.017087999999999992,-0.008424000000000015,0.012884000000000007,-0.0038839999999999986,203.5,-87.5,10.0,0.0,204.0,-36.0,376.0,-150.0,,,,,,,,,,,
34,gan_pd_vs_cnn_mt_conflict,cnn,33.07202844590628,,,,0.8552781637068935,,1.495237893292939,,347.54078346380805,,46.251136668676736,,20.135932132371156,,0.43822392624925327,,0.2876658748467998,,0.13460295320236426,,1.2791768655847577,,0.16405255341976255,,0.006464000000000025,,0.007391999999999954,,0.008663999999999977,,0.009000000000000008,,116.0,,10.0,,168.0,,226.0,,37.356416104450325,,6.323113918304443,,13.0,7.0,False,0.0,0.0,0.0,0.0
34,gan_pd_vs_cnn_mt_conflict,gan,31.370556204226762,-1.7014722416795145,,,1.0702193109602118,-0.21494114725331837,1.8040309933545498,-0.30879310006161065,479.98099986073925,-132.4402163969312,222.41494866001744,-176.1638119913407,222.41493606806876,-202.2790039356976,0.4598569887331148,-0.021633062483861543,0.08813164260555742,0.19953423224124237,8.44475743853032,-8.310154485327956,0.5305548480536365,0.7486220175311212,0.6073565045151004,-0.4433039510953378,0.009028000000000036,-0.0025640000000000107,0.04523200000000005,-0.037840000000000096,0.02841200000000002,-0.019748000000000043,0.01938799999999999,-0.01038799999999998,216.33333333333334,-100.33333333333334,1.0,9.0,40.0,128.0,289.0,-63.0,28.907547601520903,8.448868502929422,19.445999145507812,-13.12288522720337,1.0,18.0,True,1.0,1.0,1.0,1.0
