figure_id,panel_order,panel_group,panel_type,method_id,source_path,final_visible_status
1,1,scripted_per_method,speed_fields,GT,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_GT.png,visible
1,2,scripted_per_method,speed_fields,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_cnn.png,visible
1,3,scripted_per_method,speed_fields,gan,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_gan.png,visible
1,4,scripted_per_method,speed_fields,candidate_c,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_candidate_c.png,visible
1,5,scripted_per_method,speed_fields,f3_grad_crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_f3_grad_crit.png,visible
1,6,scripted_per_method,speed_fields,f2_grad_levelset_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_f2_grad_levelset_e2.png,visible
1,7,scripted_per_method,speed_fields,uv_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_uv_e2.png,visible
1,8,scripted_per_method,error_maps,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_cnn.png,visible
1,9,scripted_per_method,error_maps,gan,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_gan.png,visible
1,10,scripted_per_method,error_maps,candidate_c,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_candidate_c.png,visible
1,11,scripted_per_method,error_maps,f3_grad_crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_f3_grad_crit.png,visible
1,12,scripted_per_method,error_maps,f2_grad_levelset_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_f2_grad_levelset_e2.png,visible
1,13,scripted_per_method,error_maps,uv_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_uv_e2.png,visible
1,14,scripted_figure_level,metric_strip,,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/metric_strip.png,visible
1,15,pd_coordinate,pd_evidence,GT,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_GT.png,visible
