figure_id,archetype_id,sample_idx,panel_type,method_id,method_role,display_label,output_path,requires_manual_topology_input,requires_pd_coordinate_source,pd_coordinate_source_found,status
1,global_descriptor_disagreement,120,speed_fields,GT,primary,Ground Truth,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_GT.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,speed_fields,cnn,primary,CNN,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_cnn.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,speed_fields,gan,primary,GAN,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_gan.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,speed_fields,candidate_c,primary,Candidate C,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_candidate_c.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,speed_fields,f3_grad_crit,primary,F3: Grad+Crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_f3_grad_crit.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,speed_fields,f2_grad_levelset_e2,primary,F2: Grad+Levelset+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_f2_grad_levelset_e2.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,speed_fields,uv_e2,primary,UV+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/speed_fields_uv_e2.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,error_maps,cnn,primary,CNN,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_cnn.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,error_maps,gan,primary,GAN,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_gan.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,error_maps,candidate_c,primary,Candidate C,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_candidate_c.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,error_maps,f3_grad_crit,primary,F3: Grad+Crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_f3_grad_crit.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,error_maps,f2_grad_levelset_e2,primary,F2: Grad+Levelset+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_f2_grad_levelset_e2.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,error_maps,uv_e2,primary,UV+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/error_maps_uv_e2.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,metric_strip,,,,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/metric_strip.png,False,False,,planned_not_rendered
1,global_descriptor_disagreement,120,pd_evidence,GT,primary,Ground Truth,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_GT.png,False,True,available_validated,planned_not_rendered
1,global_descriptor_disagreement,120,pd_evidence,cnn,primary,CNN,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_cnn.png,False,True,unavailable_after_authoritative_spark_audit,scalar_fallback_planned
1,global_descriptor_disagreement,120,pd_evidence,gan,primary,GAN,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_gan.png,False,True,unavailable_after_authoritative_spark_audit,scalar_fallback_planned
1,global_descriptor_disagreement,120,pd_evidence,candidate_c,primary,Candidate C,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_candidate_c.png,False,True,available_validated,planned_not_rendered
1,global_descriptor_disagreement,120,pd_evidence,f3_grad_crit,primary,F3: Grad+Crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_f3_grad_crit.png,False,True,available_validated,planned_not_rendered
1,global_descriptor_disagreement,120,pd_evidence,f2_grad_levelset_e2,primary,F2: Grad+Levelset+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_f2_grad_levelset_e2.png,False,True,available_validated,planned_not_rendered
1,global_descriptor_disagreement,120,pd_evidence,uv_e2,primary,UV+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/pd_evidence_uv_e2.png,False,True,available_validated,planned_not_rendered
1,global_descriptor_disagreement,120,mt_evidence,GT,primary,Ground Truth,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/mt_evidence_GT.png,True,False,,blocked_awaiting_manual_topology_input
1,global_descriptor_disagreement,120,mt_evidence,cnn,primary,CNN,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/mt_evidence_cnn.png,True,False,,blocked_awaiting_manual_topology_input
1,global_descriptor_disagreement,120,mt_evidence,gan,primary,GAN,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/mt_evidence_gan.png,True,False,,blocked_awaiting_manual_topology_input
1,global_descriptor_disagreement,120,mt_evidence,candidate_c,primary,Candidate C,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/mt_evidence_candidate_c.png,True,False,,blocked_awaiting_manual_topology_input
1,global_descriptor_disagreement,120,mt_evidence,f3_grad_crit,primary,F3: Grad+Crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/mt_evidence_f3_grad_crit.png,True,False,,blocked_awaiting_manual_topology_input
1,global_descriptor_disagreement,120,mt_evidence,f2_grad_levelset_e2,primary,F2: Grad+Levelset+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/mt_evidence_f2_grad_levelset_e2.png,True,False,,blocked_awaiting_manual_topology_input
1,global_descriptor_disagreement,120,mt_evidence,uv_e2,primary,UV+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_01_global_disagreement/mt_evidence_uv_e2.png,True,False,,blocked_awaiting_manual_topology_input
2,gan_pd_vs_cnn_mt_conflict,34,speed_fields,GT,primary,Ground Truth,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/speed_fields_GT.png,False,False,,planned_not_rendered
2,gan_pd_vs_cnn_mt_conflict,34,speed_fields,bicubic,primary,Bicubic,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/speed_fields_bicubic.png,False,False,,planned_not_rendered
2,gan_pd_vs_cnn_mt_conflict,34,speed_fields,cnn,primary,CNN,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/speed_fields_cnn.png,False,False,,planned_not_rendered
2,gan_pd_vs_cnn_mt_conflict,34,speed_fields,gan,primary,GAN,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/speed_fields_gan.png,False,False,,planned_not_rendered
2,gan_pd_vs_cnn_mt_conflict,34,error_maps,bicubic,primary,Bicubic,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_02_gan_cnn_conflict/error_maps_bicubic.png,False,False,,planned_not_rendered
