figure_id,archetype_id,sample_idx,method_id,display_label,expected_panel_path,expected_metadata_path,panel_type,default_persistence_threshold,default_arc_sampling,default_arc_line_size,status
1,global_descriptor_disagreement,120,GT,Ground Truth,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/GT_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/GT_mt_metadata.csv,mt_evidence,11.0,10,3,present
1,global_descriptor_disagreement,120,cnn,CNN,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/cnn_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/cnn_mt_metadata.csv,mt_evidence,11.0,10,3,present
1,global_descriptor_disagreement,120,gan,GAN,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/gan_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/gan_mt_metadata.csv,mt_evidence,11.0,10,3,present
1,global_descriptor_disagreement,120,candidate_c,Candidate C,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/candidate_c_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/candidate_c_mt_metadata.csv,mt_evidence,11.0,10,3,present
1,global_descriptor_disagreement,120,f3_grad_crit,F3: Grad+Crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/f3_grad_crit_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/f3_grad_crit_mt_metadata.csv,mt_evidence,11.0,10,3,present
1,global_descriptor_disagreement,120,f2_grad_levelset_e2,F2: Grad+Levelset+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/f2_grad_levelset_e2_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/f2_grad_levelset_e2_mt_metadata.csv,mt_evidence,11.0,10,3,present
1,global_descriptor_disagreement,120,uv_e2,UV+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/uv_e2_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_01/uv_e2_mt_metadata.csv,mt_evidence,11.0,10,3,present
2,gan_pd_vs_cnn_mt_conflict,34,GT,Ground Truth,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/GT_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/GT_mt_metadata.csv,mt_comparison,11.0,10,3,present
2,gan_pd_vs_cnn_mt_conflict,34,bicubic,Bicubic,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/bicubic_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/bicubic_mt_metadata.csv,mt_comparison,11.0,10,3,present
2,gan_pd_vs_cnn_mt_conflict,34,cnn,CNN,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/cnn_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/cnn_mt_metadata.csv,mt_comparison,11.0,10,3,present
2,gan_pd_vs_cnn_mt_conflict,34,gan,GAN,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/gan_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_02/gan_mt_metadata.csv,mt_comparison,11.0,10,3,present
3,f3_pd_vs_uv_e2_mt_tradeoff,119,GT,Ground Truth,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_03/GT_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_03/GT_mt_metadata.csv,mt_evidence,11.0,10,3,present
3,f3_pd_vs_uv_e2_mt_tradeoff,119,cnn,CNN,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_03/cnn_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_03/cnn_mt_metadata.csv,mt_evidence,11.0,10,3,present
3,f3_pd_vs_uv_e2_mt_tradeoff,119,f3_grad_crit,F3: Grad+Crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_03/f3_grad_crit_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_03/f3_grad_crit_mt_metadata.csv,mt_evidence,11.0,10,3,present
3,f3_pd_vs_uv_e2_mt_tradeoff,119,uv_e2,UV+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_03/uv_e2_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_03/uv_e2_mt_metadata.csv,mt_evidence,11.0,10,3,present
5,candidate_c_continuity,30,GT,Ground Truth,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/GT_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/GT_mt_metadata.csv,topology_comparison,11.0,10,3,present
5,candidate_c_continuity,30,cnn,CNN,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/cnn_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/cnn_mt_metadata.csv,topology_comparison,11.0,10,3,present
5,candidate_c_continuity,30,candidate_c,Candidate C,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/candidate_c_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/candidate_c_mt_metadata.csv,topology_comparison,11.0,10,3,present
5,candidate_c_continuity,30,f3_grad_crit,F3: Grad+Crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/f3_grad_crit_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/f3_grad_crit_mt_metadata.csv,topology_comparison,11.0,10,3,present
5,candidate_c_continuity,30,f2_grad_levelset_e2,F2: Grad+Levelset+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/f2_grad_levelset_e2_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/f2_grad_levelset_e2_mt_metadata.csv,topology_comparison,11.0,10,3,present
5,candidate_c_continuity,30,uv_e2,UV+E2,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/uv_e2_mt.png,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_05/uv_e2_mt_metadata.csv,topology_comparison,11.0,10,3,present
