figure_id,sample_idx,method_id,source_role,artifact_alias,filtration_convention,source_family,verdict,selected_candidate_path,parsed_pair_count,fallback_required,notes
1,120,GT,GT,candidateC_expanded2688,default_sublevel,topology_finetuning,available_validated,ttk_runs_fixed/topology_finetuning/candidateC_expanded2688_topology/pd/GT/candidateC_expanded2688_GT_s120_speed_p160_x0_y0_pd_port_0.vtu,1858,False,Canonical default_sublevel GT selected from 4 agreeing exact copies (priority alias='candidateC_expanded2688').
1,120,cnn,SR,cnn,default_sublevel,cnn_gan_bicubic_baseline,unavailable_after_authoritative_spark_audit,,,True,Searched ['ttk_runs_fixed/cnn'] (default_sublevel only) for an exact SR PD source; none found on the authoritative Spark machine. This method's main figure panel uses the scalar PD-evidence fallback instead.
1,120,gan,SR,gan,default_sublevel,cnn_gan_bicubic_baseline,unavailable_after_authoritative_spark_audit,,,True,Searched ['ttk_runs_fixed/gan'] (default_sublevel only) for an exact SR PD source; none found on the authoritative Spark machine. This method's main figure panel uses the scalar PD-evidence fallback instead.
1,120,candidate_c,SR,candidateC_expanded2688,default_sublevel,topology_finetuning,available_validated,ttk_runs_fixed/topology_finetuning/candidateC_expanded2688_topology/pd/SR/candidateC_expanded2688_SR_s120_speed_p160_x0_y0_pd_port_0.vtu,2791,False,
1,120,f3_grad_crit,SR,candidateF_grad_crit_expanded2688,default_sublevel,topology_finetuning,available_validated,ttk_runs_fixed/topology_finetuning/candidateF_grad_crit_expanded2688_topology/pd/SR/candidateF_grad_crit_expanded2688_SR_s120_speed_p160_x0_y0_pd_port_0.vtu,2829,False,
1,120,f2_grad_levelset_e2,SR,candidateF_grad_levelset_E2_low_expanded2688,default_sublevel,topology_finetuning,available_validated,ttk_runs_fixed/topology_finetuning/candidateF_grad_levelset_E2_low_expanded2688_topology/pd/SR/candidateF_grad_levelset_E2_low_expanded2688_SR_s120_speed_p160_x0_y0_pd_port_0.vtu,1702,False,
1,120,uv_e2,SR,candidateUV_plus_E2_tf_lowlambda_expanded2688,default_sublevel,topology_finetuning,available_validated,ttk_runs_fixed/topology_finetuning/candidateUV_plus_E2_tf_lowlambda_expanded2688_topology/pd/SR/candidateUV_plus_E2_tf_lowlambda_expanded2688_SR_s120_speed_p160_x0_y0_pd_port_0.vtu,1137,False,
2,34,GT,GT,candidateC_expanded2688,default_sublevel,topology_finetuning,available_validated,ttk_runs_fixed/topology_finetuning/candidateC_expanded2688_topology/pd/GT/candidateC_expanded2688_GT_s34_speed_p160_x0_y0_pd_port_0.vtu,2179,False,Canonical default_sublevel GT selected from 4 agreeing exact copies (priority alias='candidateC_expanded2688').
2,34,bicubic,SR,bicubic,default_sublevel,cnn_gan_bicubic_baseline,unavailable_after_authoritative_spark_audit,,,True,Searched ['ttk_runs_fixed/bicubic'] (default_sublevel only) for an exact SR PD source; none found on the authoritative Spark machine. This method's main figure panel uses the scalar PD-evidence fallback instead.
2,34,cnn,SR,cnn,default_sublevel,cnn_gan_bicubic_baseline,unavailable_after_authoritative_spark_audit,,,True,Searched ['ttk_runs_fixed/cnn'] (default_sublevel only) for an exact SR PD source; none found on the authoritative Spark machine. This method's main figure panel uses the scalar PD-evidence fallback instead.
2,34,gan,SR,gan,default_sublevel,cnn_gan_bicubic_baseline,unavailable_after_authoritative_spark_audit,,,True,Searched ['ttk_runs_fixed/gan'] (default_sublevel only) for an exact SR PD source; none found on the authoritative Spark machine. This method's main figure panel uses the scalar PD-evidence fallback instead.
3,119,GT,GT,candidateC_expanded2688,default_sublevel,topology_finetuning,available_validated,ttk_runs_fixed/topology_finetuning/candidateC_expanded2688_topology/pd/GT/candidateC_expanded2688_GT_s119_speed_p160_x0_y0_pd_port_0.vtu,1861,False,Canonical default_sublevel GT selected from 4 agreeing exact copies (priority alias='candidateC_expanded2688').
3,119,cnn,SR,cnn,default_sublevel,cnn_gan_bicubic_baseline,unavailable_after_authoritative_spark_audit,,,True,Searched ['ttk_runs_fixed/cnn'] (default_sublevel only) for an exact SR PD source; none found on the authoritative Spark machine. This method's main figure panel uses the scalar PD-evidence fallback instead.
3,119,f3_grad_crit,SR,candidateF_grad_crit_expanded2688,default_sublevel,topology_finetuning,available_validated,ttk_runs_fixed/topology_finetuning/candidateF_grad_crit_expanded2688_topology/pd/SR/candidateF_grad_crit_expanded2688_SR_s119_speed_p160_x0_y0_pd_port_0.vtu,2935,False,
3,119,uv_e2,SR,candidateUV_plus_E2_tf_lowlambda_expanded2688,default_sublevel,topology_finetuning,available_validated,ttk_runs_fixed/topology_finetuning/candidateUV_plus_E2_tf_lowlambda_expanded2688_topology/pd/SR/candidateUV_plus_E2_tf_lowlambda_expanded2688_SR_s119_speed_p160_x0_y0_pd_port_0.vtu,1216,False,
