method_id,display_name,pd_mean,pd_mean_improvement_vs_cnn,pd_median_improvement_vs_cnn,pd_win_rate_vs_cnn,mt_mean,mt_mean_improvement_vs_cnn,mt_median_improvement_vs_cnn,mt_win_rate_vs_cnn,improves_pd_mean,improves_mt_mean,topology_quadrant
cnn,CNN baseline (pretrained),27.406283078086055,0.0,0.0,,5.867795200574966,0.0,0.0,,,,cnn_reference
f2_grad_levelset_e2,Candidate F: grad + level-set + repaired E2-low,23.748107956316563,3.658175121769499,3.8281866186912747,0.9880952380952381,5.674229775156293,0.1935654254186721,0.1341099739074707,0.6071428571428571,True,True,improves_both
f1_grad_e2,Candidate F: grad + repaired E2-low,23.838249287609386,3.568033790476663,3.770550204008366,0.9880952380952381,5.656570005984533,0.2112251945904323,0.10047245025634766,0.5833333333333334,True,True,improves_both
b_e2,Candidate B + repaired E2,23.98758167822223,3.4187013998638194,3.5686212561646897,0.9880952380952381,5.677425131911323,0.19037006866364253,0.0861814022064209,0.5357142857142857,True,True,improves_both
c_e2,Candidate C + repaired E2,24.26859932750987,3.1376837505761936,3.301166761481518,0.9821428571428571,5.662811040878296,0.2049841596966698,0.061630964279174805,0.5595238095238095,True,True,improves_both
uv_e2,UV + repaired E2,25.072073820293586,2.334209257792476,2.538629223348808,0.9523809523809523,5.593966117927006,0.2738290826479594,0.13367772102355957,0.6190476190476191,True,True,improves_both
uv_crit,UV + critical-maxima proxy,29.11433340244734,-1.7080503243612726,-1.525957582854149,0.07142857142857142,5.689883058979397,0.17791214159556798,0.0706171989440918,0.5595238095238095,False,True,improves_mt_only
speed_levelset,B-factorial: speed + level-set,29.436290755840098,-2.0300076777540372,-1.8839094863495518,0.06547619047619048,5.944104677154904,-0.07630947657993861,-0.11710715293884277,0.39285714285714285,False,False,improves_neither
speed_only,B-factorial: speed only,29.578276619692105,-2.171993541606045,-1.9958314877322216,0.05357142857142857,5.999594864391145,-0.13179966381617955,-0.18034911155700684,0.3630952380952381,False,False,improves_neither
levelset_only,B-factorial: level-set only,29.595268286940343,-2.1889852088542767,-2.022059192738716,0.05952380952380952,6.007606157234737,-0.13981095665977114,-0.19900155067443848,0.38095238095238093,False,False,improves_neither
uv,Candidate UV (vector-only control),29.612120109960593,-2.2058370318745433,-2.0523099248358943,0.05357142857142857,6.011865703832536,-0.14407050325756982,-0.16756701469421387,0.38095238095238093,False,False,improves_neither
gan,GAN baseline (pretrained),20.864090023128004,6.542193054958055,6.757109770388814,0.9880952380952381,8.348149540878477,-2.4803543403035118,-1.913480281829834,0.11904761904761904,True,False,improves_pd_only
f3_grad_crit,Candidate F: grad + critical-maxima proxy,22.01788444732943,5.388398630756623,5.661531336349517,1.0,5.984007384095873,-0.11621218352090745,-0.22591423988342285,0.3630952380952381,True,False,improves_pd_only
candidate_c,Candidate C (Candidate B + local-maxima proxy),22.494387345643283,4.91189573244279,5.094996478720905,1.0,6.080286664622171,-0.21249146404720487,-0.27164292335510254,0.30952380952380953,True,False,improves_pd_only
grad_levelset,B-factorial: gradient + level-set,22.619358912166298,4.78692416591977,5.122358929538494,0.9761904761904762,6.19958542074476,-0.331790220169794,-0.39609742164611816,0.24404761904761904,True,False,improves_pd_only
candidate_b,Candidate B (full scalar-field proxy scaffold),22.706997671157218,4.699285406928847,5.1465946835723635,0.9880952380952381,6.161181682632083,-0.29338648205711726,-0.3227808475494385,0.23809523809523808,True,False,improves_pd_only
grad_only,B-factorial: gradient only,22.932626906638195,4.473656171447863,5.2438278770124285,0.9345238095238095,6.055993423575447,-0.188198223000481,-0.20493626594543457,0.39285714285714285,True,False,improves_pd_only
speed_grad,B-factorial: speed + gradient,22.970622717354583,4.435660360731483,4.870081954694452,0.9761904761904762,6.290474925722394,-0.42267972514742896,-0.4818105697631836,0.25,True,False,improves_pd_only
bicubic,Bicubic baseline,,,,,,,,,,,topology_unavailable
