sample_idx,method_id,display_name,candidate_family,training_scale,architecture,uses_speed,uses_grad,uses_levelset,uses_crit,uses_e2,psnruv,ssim_speed,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
0,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
1,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
2,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
3,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
4,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
5,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
6,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
7,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
8,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
9,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
10,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
11,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
12,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
13,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
14,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
15,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
16,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
17,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
18,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
19,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
20,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
21,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
22,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
23,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
24,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
25,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
26,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
27,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
28,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
29,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
30,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
31,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
32,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
33,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
34,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
35,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
36,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
37,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
38,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
39,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
40,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
41,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
42,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
43,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
44,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
45,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
46,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
47,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
48,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
49,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
50,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
51,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
52,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
53,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
54,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
55,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
56,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
57,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
58,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
59,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
60,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
61,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
62,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
63,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
