sample_idx,category,pd_cnn,pd_gan,pd_uv,pd_c,mt_cnn,mt_gan,mt_uv,mt_c,full_panel,crop_panel
25,manually selected,36.58411526021696,30.123491475362258,38.81846541134428,30.79463043390562,11.371563911437988,10.501462936401367,7.010876178741455,7.462067127227783,panels_full/sample_025_full.png,panels_crop/sample_025_crop.png
63,manually selected,28.524583670890912,18.199751597271156,29.80264483492646,22.649396263582275,7.660599708557129,7.5776286125183105,7.497879981994629,6.998908996582031,panels_full/sample_063_full.png,panels_crop/sample_063_crop.png
71,manually selected,25.505047306429027,18.465741214218955,27.242147400282096,18.887182627943936,5.1588335037231445,7.186563014984131,6.025395393371582,6.3084869384765625,panels_full/sample_071_full.png,panels_crop/sample_071_crop.png
76,manually selected,30.056769521251926,20.225713244111034,32.20042852712014,23.571070910557207,5.207019329071045,6.450347900390625,6.165976047515869,6.074803829193115,panels_full/sample_076_full.png,panels_crop/sample_076_crop.png
98,manually selected,31.264551411001506,23.055714774434993,34.329119836836284,24.53836858473944,4.942448139190674,8.764951705932617,5.543159484863281,5.597387313842773,panels_full/sample_098_full.png,panels_crop/sample_098_crop.png
99,manually selected,30.940933752807226,20.998202000997363,34.390808103523796,24.538214038269345,5.342334747314453,7.760592460632324,6.102060794830322,5.8894877433776855,panels_full/sample_099_full.png,panels_crop/sample_099_crop.png
106,manually selected,30.092821360744658,20.00547041151677,31.85616123938521,22.593642385770412,5.767349720001221,6.75129508972168,6.536849021911621,5.825618743896484,panels_full/sample_106_full.png,panels_crop/sample_106_crop.png
107,manually selected,29.64376642955138,20.682183399063746,31.512941740994147,21.831750558834962,5.574344635009766,7.6041154861450195,5.87354850769043,5.819886684417725,panels_full/sample_107_full.png,panels_crop/sample_107_crop.png
162,manually selected,18.27105324592802,19.457879947992573,23.3272532494378,17.722117170665864,4.5405659675598145,9.695740699768066,4.456484317779541,4.929820537567139,panels_full/sample_162_full.png,panels_crop/sample_162_crop.png
163,manually selected,19.37037318892002,20.44637029980189,24.34220501206964,19.021466250214736,5.698920726776123,6.788956165313721,5.028634548187256,5.3675217628479,panels_full/sample_163_full.png,panels_crop/sample_163_crop.png
